origin,destination,window_days,price_low_usd,price_high_usd,typical_airlines,cited_websites,brands,notes
LGA,IAH,45,150,350,"United Airlines, American Airlines, Delta Air Lines","google.com/flights, kayak.com, expedia.com","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,SYD,45,1200,2000,"Qantas, American Airlines, United Airlines, Delta Air Lines","expedia.com, kayak.com, google.com/flights","American, Delta, United","Prices can vary based on demand, time of booking, and seasonal factors."
JFK,ATH,45,600,1200,"Delta, American Airlines, United, Lufthansa, Aegean Airlines","google.com/flights, kayak.com, skyscanner.com","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,CAI,45,600,1200,"EgyptAir, Delta, American Airlines, United Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,FRA,45,600,1200,"Lufthansa, United Airlines, Delta Air Lines, British Airways",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,GRU,45,600,1200,"United Airlines, LATAM Airlines, American Airlines, Delta Air Lines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,CAI,45,600,1200,"EgyptAir, Delta, American Airlines, United Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and flight availability."
JFK,WAW,45,500,900,"LOT Polish Airlines, American Airlines, Delta Air Lines, Lufthansa",,"American, Delta","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,NRT,45,800,1500,"American Airlines, Delta Air Lines, United Airlines, Japan Airlines, All Nippon Airways",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,IAD,45,100,250,"United Airlines, American Airlines, JetBlue",,"American, JetBlue, United",Prices may vary based on demand and booking time.
JFK,SIN,45,800,1500,"Singapore Airlines, United Airlines, Delta Air Lines, Cathay Pacific",,"Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,LAX,45,150,400,"United Airlines, American Airlines, Delta Air Lines, JetBlue Airways",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,OSL,45,450,800,"SAS, United Airlines, Norwegian Air, Lufthansa",,United,"Prices can vary based on demand, time of booking, and specific travel dates."
JFK,LYS,45,600,1200,"Delta, Air France, American Airlines, British Airways",,"American, British Airways, Delta","Prices can vary based on demand, time of booking, and seasonal factors."
LGA,ZRH,45,600,1200,"Swiss International Air Lines, United Airlines, Lufthansa, Delta Air Lines",,"Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,CPH,45,500,900,"SAS, United Airlines, Delta Air Lines, Lufthansa","expedia.com, kayak.com","Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,MEX,45,300,600,"United Airlines, AeroMexico, American Airlines, Delta Air Lines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,DCA,45,100,250,"United Airlines, American Airlines, JetBlue",,"American, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,YYZ,45,150,350,"Air Canada, United Airlines, American Airlines, Delta Air Lines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,GDL,45,300,600,"United Airlines, American Airlines, Aeromexico",,"American, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,KEF,45,350,700,"Icelandair, United Airlines, Delta Air Lines, American Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,SDQ,45,250,500,"JetBlue, American Airlines, Delta, United",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,NAS,45,250,500,"JetBlue, American Airlines, Delta",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and seasonal factors."
EWR,MCO,45,80,250,"United Airlines, JetBlue Airways, Spirit Airlines, American Airlines","google.com/flights, kayak.com, expedia.com","American, JetBlue, Spirit, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,BER,45,600,1200,"Lufthansa, United Airlines, British Airways, Delta Air Lines, Air France",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,MEL,45,900,1500,"Qantas, United Airlines, American Airlines, Delta Air Lines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,YWG,45,300,600,"Delta, United, American Airlines, WestJet",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,SAP,45,300,600,"United Airlines, American Airlines, Spirit Airlines, Delta Air Lines",,"American, Delta, Spirit, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,AUS,45,150,350,"United Airlines, American Airlines, Southwest Airlines, JetBlue",,"American, JetBlue, Southwest, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,SAN,45,150,400,"JetBlue, American Airlines, Delta, Southwest",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,ZRH,45,600,1200,"Swiss International Air Lines, United Airlines, Lufthansa, British Airways",,"British Airways, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,IST,45,600,1200,"Turkish Airlines, Delta, United, American Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,MIA,45,100,300,"American Airlines, JetBlue, Delta, Spirit Airlines",,"American, Delta, JetBlue, Spirit","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,VIE,45,600,1200,"United Airlines, Lufthansa, Austrian Airlines, British Airways","expedia.com, kayak.com","British Airways, United","Prices can vary based on demand, time of booking, and flight connections."
JFK,ZRH,45,500,900,"Swiss International Air Lines, United Airlines, Lufthansa, Delta Air Lines",,"Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,ATL,45,100,250,"Delta, American Airlines, JetBlue, Southwest",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,BKK,45,800,1500,"Thai Airways, Delta Airlines, United Airlines, Cathay Pacific, Singapore Airlines",,"Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,GCM,45,300,600,"JetBlue, American Airlines, Delta, United",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,AMM,45,700,1200,"Royal Jordanian, Delta Air Lines, United Airlines, American Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,MIA,45,100,300,"American Airlines, JetBlue, United Airlines, Delta Air Lines",,"American, Delta, JetBlue, United","Prices can fluctuate based on demand, time of booking, and specific travel dates."
LGA,ICN,45,800,1500,"Korean Air, Asiana Airlines, Delta Air Lines, United Airlines",,"Delta, United","Prices can vary based on demand, time of booking, and flight availability."
LGA,JED,45,800,1500,"Saudi Arabian Airlines, American Airlines, Delta Air Lines, United Airlines","expedia.com, kayak.com, skyscanner.com","American, Delta, United","Prices can vary based on demand, time of booking, and layover options."
EWR,HND,45,800,1500,"United Airlines, All Nippon Airways, Japan Airlines, Delta Air Lines",,"Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,PHX,45,150,400,"American Airlines, Delta Air Lines, Southwest Airlines, JetBlue Airways",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,GRU,45,600,1200,"American Airlines, Delta Air Lines, LATAM Airlines, United Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,SCL,45,600,1200,"American Airlines, Delta Air Lines, LATAM Airlines, JetBlue Airways",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and seasonal factors."
LGA,PBI,45,100,300,"JetBlue, American Airlines, Delta, Spirit",,"American, Delta, JetBlue, Spirit","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,RUH,45,800,1500,"Saudi Arabian Airlines, American Airlines, Delta Air Lines, United Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and layovers."
LGA,GCM,45,300,600,"American Airlines, JetBlue, Delta, United",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and seasonal trends."
EWR,CUR,45,350,600,"JetBlue, American Airlines, United Airlines",,"American, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,DOH,45,800,1500,"Qatar Airways, American Airlines, United Airlines",,"American, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,SAL,45,300,600,"American Airlines, United Airlines, Delta Air Lines, Avianca",,"American, Delta, United",Prices can vary based on demand and specific travel dates.
JFK,UIO,45,400,800,"American Airlines, Delta Air Lines, JetBlue Airways, Avianca",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,CDG,45,500,1200,"Delta, Air France, American Airlines, United Airlines","expedia.com, kayak.com, google.com/flights","American, Delta, United","Prices can vary based on demand, day of the week, and how far in advance the ticket is purchased."
JFK,CUN,45,250,500,"American Airlines, JetBlue, Delta, United Airlines",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,DUB,45,350,700,"American Airlines, Delta Air Lines, Aer Lingus, United Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,OGG,45,600,1200,"United Airlines, Hawaiian Airlines, American Airlines, Delta Air Lines","kayak.com, expedia.com, google.com/flights","American, Delta, United","Prices can fluctuate based on demand, time of booking, and seasonal factors."
LGA,SFO,45,150,400,"Delta, United, American Airlines, JetBlue",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,YWG,45,300,600,"United Airlines, Air Canada, Delta Air Lines",,"Delta, United",Prices can vary based on demand and booking time; consider booking in advance for better rates.
LGA,PDX,45,200,450,"Delta, Alaska Airlines, American Airlines, JetBlue",,"Alaska, American, Delta, JetBlue",Prices can vary based on demand and specific travel dates.
EWR,SIN,45,800,1500,"Singapore Airlines, United Airlines, Delta Air Lines, Cathay Pacific",,"Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,DUB,45,400,800,"American Airlines, Delta Air Lines, United Airlines, Aer Lingus",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,FLL,45,100,300,"JetBlue, American Airlines, Delta, Spirit Airlines",,"American, Delta, JetBlue, Spirit","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,DEN,45,150,350,"United Airlines, Delta Air Lines, Southwest Airlines, JetBlue Airways",,"Delta, JetBlue, Southwest, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,MAD,45,400,800,"Iberia, American Airlines, United Airlines, Delta Air Lines, Air Europa",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,NRT,45,800,1500,"American Airlines, Japan Airlines, All Nippon Airways, Delta Air Lines",,"American, Delta","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,GDL,45,300,600,"American Airlines, United Airlines, Delta Air Lines, Aeroméxico",,"American, Delta, United","Prices can vary based on demand, time of booking, and travel dates."
EWR,PRG,45,600,1200,"United Airlines, Lufthansa, British Airways, Delta Air Lines, Air France",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,ATH,45,600,1200,"United Airlines, Delta Air Lines, American Airlines, Lufthansa, British Airways",,"American, British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,LAX,45,150,400,"Delta, American Airlines, JetBlue, United","google.com/flights, kayak.com, skyscanner.com","American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,KEF,45,300,600,"Icelandair, Delta, American Airlines, JetBlue",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,AKL,45,900,1500,"Air New Zealand, United Airlines, Qantas, American Airlines",,"American, United","Prices can vary based on demand, time of booking, and seasonal factors."
JFK,SFO,45,150,400,"Delta, United, American Airlines, JetBlue",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,AUS,45,150,350,"American Airlines, JetBlue, Southwest Airlines, Delta Air Lines",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,ICN,45,800,1500,"Korean Air, Asiana Airlines, United Airlines, Delta Air Lines, American Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,NCE,45,600,1200,"Delta, Air France, American Airlines, United Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and seasonal trends."
JFK,MCO,45,80,250,"JetBlue, Delta, American Airlines, Southwest",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,ICN,45,700,1200,"Korean Air, Asiana Airlines, Delta Air Lines, United Airlines","expedia.com, kayak.com, google.com/flights","Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,LIM,45,400,800,"American Airlines, Delta Air Lines, LATAM Airlines, JetBlue Airways",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,HNL,45,600,1200,"United Airlines, American Airlines, Delta Air Lines, Hawaiian Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,JED,45,700,1200,"Saudi Arabian Airlines, United Airlines, American Airlines, Lufthansa",,"American, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,DXB,45,700,1200,"Emirates, Etihad Airways, Qatar Airways, American Airlines, Delta Air Lines","google.com/flights, kayak.com, skyscanner.com","American, Delta","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,MXP,45,500,1200,"Delta, American Airlines, Alitalia, Lufthansa, United",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,KUL,45,700,1200,"Malaysia Airlines, Cathay Pacific, Singapore Airlines, Qatar Airways, Emirates","expedia.com, kayak.com, skyscanner.com",,"Prices can vary based on demand, time of booking, and layover options."
LGA,ATH,45,600,1200,"Delta, American Airlines, United, Lufthansa, British Airways",,"American, British Airways, Delta, United","Prices can vary based on demand, time of booking, and seasonality."
LGA,BER,45,600,1200,"Lufthansa, United Airlines, Delta Air Lines, British Airways, Air France",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,SJO,45,300,600,"JetBlue, American Airlines, United Airlines, Delta","expedia.com, kayak.com, google.com/flights","American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,CUR,45,350,600,"American Airlines, JetBlue, Delta, United",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and seasonal factors."
JFK,BER,45,500,1200,"Lufthansa, United Airlines, Delta Air Lines, British Airways, Air France",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,GIG,45,600,1200,"United Airlines, American Airlines, LATAM Airlines, Delta Air Lines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,TPA,45,80,250,"Delta, American Airlines, JetBlue, Southwest",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,PUJ,45,350,600,"JetBlue, American Airlines, United Airlines, Delta",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,PUJ,45,300,600,"JetBlue, American Airlines, Delta, United","expedia.com, kayak.com, google.com/flights","American, Delta, JetBlue, United","Prices can vary based on demand, booking time, and specific travel dates."
JFK,AKL,45,900,1500,"Air New Zealand, American Airlines, United Airlines, Qantas, Delta",,"American, Delta, United","Prices can fluctuate based on demand, time of booking, and seasonal trends."
LGA,AKL,45,900,1500,"Air New Zealand, American Airlines, United Airlines, Qantas, Delta Air Lines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,HNL,45,600,1200,"Hawaiian Airlines, American Airlines, Delta Air Lines, United Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,CAI,45,600,1200,"EgyptAir, United Airlines, Delta Air Lines, Lufthansa",,"Delta, United","Prices can vary based on demand, time of booking, and flight connections."
JFK,RUH,45,800,1500,"Saudi Arabian Airlines, American Airlines, Delta Air Lines, British Airways",,"American, British Airways, Delta","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,VIE,45,600,1200,"Austrian Airlines, United Airlines, Lufthansa, Delta Air Lines, British Airways",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and seasonality."
EWR,SJU,45,150,400,"JetBlue, United Airlines, American Airlines",,"American, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,LIM,45,400,800,"American Airlines, Delta Air Lines, LATAM Airlines, JetBlue Airways",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,LYS,45,600,1200,"United Airlines, Air France, Delta Air Lines, Lufthansa",,"Delta, United","Prices can vary based on demand, time of booking, and flight connections."
LGA,AUS,45,150,350,"American Airlines, Delta Air Lines, Southwest Airlines, JetBlue Airways",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,IAD,45,100,250,"United Airlines, American Airlines, JetBlue Airways",,"American, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,SCL,45,600,1200,"American Airlines, Delta Air Lines, LATAM Airlines, JetBlue Airways","google.com/flights, kayak.com","American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,EDI,45,600,1200,"Delta, American Airlines, British Airways, United",,"American, British Airways, Delta, United","Prices can vary based on demand, time of booking, and seasonal factors."
LGA,GIG,45,600,1200,"American Airlines, Delta Air Lines, United Airlines, LATAM Airlines","expedia.com, kayak.com, google.com/flights","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,ATL,45,100,300,"Delta, American Airlines, JetBlue, Southwest",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,JED,45,700,1200,"Saudi Arabian Airlines, American Airlines, Delta Air Lines, United Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,MEX,45,300,600,"American Airlines, Delta Air Lines, United Airlines, Aeroméxico","google.com/flights, kayak.com, skyscanner.com","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,YVR,45,350,600,"Delta, American Airlines, Alaska Airlines, Air Canada",,"Alaska, American, Delta","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,MBJ,45,300,600,"JetBlue, American Airlines, Delta, Southwest",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,KEF,45,350,700,"Icelandair, Delta, American Airlines, JetBlue",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and seasonal factors."
JFK,FCO,45,500,1200,"Delta, American Airlines, Alitalia, United, British Airways",,"American, British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,BOG,45,350,600,"Avianca, American Airlines, JetBlue, Delta","kayak.com, expedia.com, google.com/flights","American, Delta, JetBlue",Prices can fluctuate based on demand and booking time. It's advisable to book early for better rates.
JFK,GDL,45,300,600,"American Airlines, Delta, United, Aeroméxico","expedia.com, kayak.com, google.com/flights","American, Delta, United","Prices can vary based on demand, time of booking, and travel dates."
LGA,MAD,45,450,900,"Iberia, American Airlines, Delta, Air Europa","kayak.com, expedia.com, google.com/flights","American, Delta","Prices can vary based on demand, time of booking, and seasonal factors."
LGA,ARN,45,500,900,"Delta Air Lines, SAS, American Airlines, United Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,CUN,45,250,600,"JetBlue, American Airlines, Delta, United","kayak.com, google.com/flights, expedia.com","American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,BCN,45,450,900,"United Airlines, Iberia, American Airlines, Delta Air Lines, Norwegian Air",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,LYS,45,600,1200,"Delta, Air France, American Airlines, United",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,BOG,45,300,600,"Avianca, American Airlines, JetBlue, Delta",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,NCE,45,600,1200,"Delta, American Airlines, United, Air France",,"American, Delta, United","Prices can vary based on demand, time of booking, and flight connections."
EWR,BOS,45,100,250,"United Airlines, JetBlue Airways, American Airlines",,"American, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,AUA,45,300,600,"JetBlue, American Airlines, Delta, United",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and seasonal trends."
EWR,DFW,45,150,350,"American Airlines, United Airlines, Southwest Airlines","expedia.com, kayak.com, google.com/flights","American, Southwest, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,CPH,45,450,800,"SAS, Norwegian Air, Delta, United Airlines, Lufthansa","kayak.com, expedia.com","Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,SJU,45,150,400,"JetBlue, American Airlines, Delta, Southwest",,"American, Delta, JetBlue, Southwest",Prices can fluctuate based on demand and booking time.
EWR,UIO,45,500,800,"American Airlines, Delta Air Lines, United Airlines, JetBlue Airways","google.com/flights, kayak.com, skyscanner.com","American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,TPA,45,100,250,"United Airlines, Spirit Airlines, JetBlue Airways, American Airlines","expedia.com, kayak.com, google.com/flights","American, JetBlue, Spirit, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,DFW,45,150,350,"American Airlines, Delta Air Lines, Southwest Airlines, JetBlue Airways",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,SJO,45,300,600,"United Airlines, JetBlue, American Airlines, Spirit Airlines",,"American, JetBlue, Spirit, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,LGW,45,400,800,"British Airways, Norwegian Air, American Airlines, JetBlue","kayak.com, expedia.com","American, British Airways, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,MXP,45,500,900,"United Airlines, Delta Air Lines, Lufthansa, British Airways","expedia.com, kayak.com, google.com/flights","British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,DXB,45,700,1200,"Emirates, United Airlines, Qatar Airways, Etihad Airways",,United,"Prices can vary based on demand, time of booking, and specific travel dates."
JFK,TLV,45,600,1200,"El Al, Delta, United, American Airlines, Turkish Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,LHR,45,500,1200,"British Airways, American Airlines, United Airlines, Virgin Atlantic",,"American, British Airways, United, Virgin Atlantic","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,YYZ,45,150,300,"Air Canada, American Airlines, Delta, JetBlue",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,DOH,45,800,1500,"Qatar Airways, United Airlines, American Airlines",,"American, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,GUA,45,300,600,"American Airlines, United Airlines, Delta Air Lines, Spirit Airlines",,"American, Delta, Spirit, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,VIE,45,600,1200,"Austrian Airlines, United Airlines, Lufthansa, Delta Air Lines, British Airways",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,HKG,45,800,1500,"United Airlines, Cathay Pacific, American Airlines, Delta Air Lines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,LHR,45,500,1200,"British Airways, American Airlines, Virgin Atlantic, Delta Air Lines",,"American, British Airways, Delta, Virgin Atlantic","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,HAM,45,500,900,"Lufthansa, United Airlines, British Airways, Delta Air Lines",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,EZE,45,800,1500,"American Airlines, Delta Air Lines, United Airlines, LATAM Airlines","kayak.com, expedia.com, google.com/flights","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,BUD,45,600,1200,"Lufthansa, British Airways, Air France, United Airlines, Delta Air Lines",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,BRU,45,500,900,"United Airlines, Brussels Airlines, Lufthansa, American Airlines",,"American, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,PTY,45,300,600,"American Airlines, Delta Air Lines, Copa Airlines, JetBlue Airways",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
